timestamp,event,symbol,score,price,qty,reason,open_pl,rotation_score,rotation_decision,notes
2026-05-05T14:45:24.138018,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T14:45:24.138047,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T14:45:24.138411,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T14:51:13.169724,SHADOW_SELL_V2_SIGNAL,AAPL,66.84,,1.0,Research signal: no exit pressure.,11.34,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.211 | entry=269.32 | current=280.66
2026-05-05T14:51:13.169854,SHADOW_SELL_V2_SIGNAL,AMZN,77.9,,61.954933291,Research signal: position is working.,1114.28655,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=6.974 | entry=257.904563 | current=275.89
2026-05-05T14:51:13.169940,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,11.34,2.66,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=66.84 | best_candidate=U
2026-05-05T14:51:13.169976,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T14:51:13.170008,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T14:51:13.170050,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T14:51:13.170414,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T14:56:52.064286,SHADOW_SELL_V2_SIGNAL,AAPL,66.99,,1.0,Research signal: no exit pressure.,11.44,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.248 | entry=269.32 | current=280.76
2026-05-05T14:56:52.064429,SHADOW_SELL_V2_SIGNAL,AMZN,78.0,,61.954933291,Research signal: position is working.,1118.31362,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=6.999 | entry=257.904563 | current=275.955
2026-05-05T14:56:52.064530,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,11.44,2.51,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=66.99 | best_candidate=U
2026-05-05T14:56:52.064571,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T14:56:52.064604,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T14:56:52.064633,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T14:56:52.064988,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T15:02:28.930434,SHADOW_SELL_V2_SIGNAL,AAPL,66.28,,1.0,Research signal: no exit pressure.,10.96,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.07 | entry=269.32 | current=280.28
2026-05-05T15:02:28.930572,SHADOW_SELL_V2_SIGNAL,AMZN,77.77,,61.954933291,Research signal: position is working.,1109.330155,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=6.943 | entry=257.904563 | current=275.81
2026-05-05T15:02:28.930658,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,10.96,3.22,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=66.28 | best_candidate=U
2026-05-05T15:02:28.930695,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T15:02:28.930728,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T15:02:28.930757,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T15:02:28.931092,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T15:08:06.763700,SHADOW_SELL_V2_SIGNAL,AAPL,66.32,,1.0,Research signal: no exit pressure.,10.99,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.081 | entry=269.32 | current=280.31
2026-05-05T15:08:06.763810,SHADOW_SELL_V2_SIGNAL,AMZN,78.06,,61.954933291,Research signal: position is working.,1121.101592,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=7.016 | entry=257.904563 | current=276.0
2026-05-05T15:08:06.763903,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,10.99,3.18,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=66.32 | best_candidate=U
2026-05-05T15:08:06.763940,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T15:08:06.763971,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T15:08:06.763998,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T15:08:06.764343,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T15:13:45.637438,SHADOW_SELL_V2_SIGNAL,AAPL,66.23,,1.0,Research signal: no exit pressure.,10.93,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.058 | entry=269.32 | current=280.25
2026-05-05T15:13:45.637576,SHADOW_SELL_V2_SIGNAL,AMZN,77.2,,61.954933291,Research signal: position is working.,1086.716604,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=6.801 | entry=257.904563 | current=275.445
2026-05-05T15:13:45.637659,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,10.93,3.27,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=66.23 | best_candidate=U
2026-05-05T15:13:45.637696,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T15:13:45.637728,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
