timestamp,portfolio_value,buying_power,open_pl
2026-05-01T17:16:45.623578,100180.07,183426.86,685.503101
2026-05-01T17:22:00.510176,100222.06,183468.85,727.487681
2026-05-01T17:27:15.017524,100234.8,183481.59,740.228442
2026-05-01T17:32:29.370798,100221.68,183468.47,727.107906
2026-05-01T17:33:39.780149,100206.14,183452.93,711.568947
2026-05-01T17:35:02.576022,100198.48,173357.15,703.912164
2026-05-01T17:40:41.982895,100202.72,173361.39,708.1530660000001
2026-05-01T17:46:29.965131,100244.47,173403.14,749.90222
2026-05-01T17:52:15.417321,100234.0,173392.67,739.438684
2026-05-01T17:57:58.192908,100263.65,173422.32,769.918637
2026-05-01T18:03:44.640957,100248.43,173407.1,753.8591
2026-05-01T18:09:25.812516,100246.99,173405.66,752.418943
2026-05-01T18:15:03.210108,100225.49,173384.16,730.920459
2026-05-01T18:20:40.009903,100230.3,173388.97,735.7380659999999
2026-05-01T18:26:25.813684,100241.6,173400.27,747.0293979999999
2026-05-01T18:32:02.421783,100210.96,173369.63,716.394366
2026-05-01T18:37:53.810997,100187.6,173346.27,693.029627
2026-05-01T18:43:29.951103,100111.81,173270.48,617.244045
2026-05-01T18:49:13.613273,100101.03,173259.7,606.460143
2026-05-01T18:54:57.316138,100097.14,173255.81,603.187547
2026-05-01T19:00:32.786808,100105.83,173264.5,611.257276
2026-05-01T19:06:09.369291,100141.46,173300.13,646.891084
2026-05-01T19:11:54.538267,100161.59,173320.26,667.023236
2026-05-01T19:17:40.109854,100197.22,173355.89,702.652805
2026-05-01T19:23:27.836392,100194.27,173352.94,699.697927
2026-05-01T19:29:05.463867,100195.77,173354.44,701.195265
2026-05-01T19:34:52.919675,100179.83,173338.5,685.1153850000001
2026-05-01T19:40:38.755745,100172.59,173331.26,678.0247400000001
2026-05-01T19:46:28.342773,100134.11,173292.78,639.5353769999999
2026-05-01T19:52:06.313871,100104.64,173263.31,610.071823
2026-05-01T19:57:54.402151,100156.51,173315.18,661.935063
2026-05-01T20:03:31.378782,100128.21,173286.88,633.643055
2026-05-01T20:08:32.482920,100141.26,173299.93,646.685348
2026-05-01T20:13:32.920940,100123.19,173281.86,628.61988
2026-05-01T20:18:33.428395,100104.12,173262.79,609.546509
2026-05-01T20:23:33.856598,100110.67,173269.34,616.103311
2026-05-01T20:28:34.315735,100116.6,173275.27,622.033345
2026-05-01T20:33:34.779357,100106.1,173264.77,611.529784
2026-05-01T20:38:35.286660,100109.04,173267.71,614.470879
2026-05-01T20:43:35.762865,100091.32,173249.99,596.7522200000001
2026-05-01T20:48:36.240879,100107.81,173266.48,613.235643
2026-05-01T20:53:36.746289,100105.31,173263.98,610.744123
2026-05-01T20:58:37.361103,100066.94,173225.61,572.374644
2026-05-01T21:03:37.866893,100088.82,173247.49,594.2502270000001
2026-05-01T21:08:38.607549,100097.78,173256.45,603.214216
2026-05-01T21:13:39.102551,100090.84,173249.51,596.2692440000001
2026-05-01T21:18:39.603305,100097.95,173256.62,603.3792950000001
2026-05-01T21:23:40.098027,100111.59,173270.26,617.015302
2026-05-01T21:28:40.584839,100107.19,173265.86,612.616283
2026-05-01T21:33:41.031006,100098.53,173257.2,603.959482
2026-05-01T21:38:41.664567,100133.05,173291.72,638.47858
2026-05-01T21:40:44.395632,100115.08,173273.75,620.505032
2026-05-01T21:40:48.568845,100115.08,173273.75,620.505032
2026-05-01T21:45:49.505946,100127.98,173286.65,633.4125469999999
2026-05-01T21:50:50.136632,100119.04,173277.71,624.466866
2026-05-01T21:55:50.588978,100136.27,173294.94,641.699004
2026-05-01T22:00:51.187952,100134.57,173293.24,639.997636
2026-05-01T22:05:51.641753,100145.92,173304.59,651.35202
2026-05-01T22:10:52.248522,100156.53,173315.2,661.962248
2026-05-01T22:15:52.738993,100158.18,173316.85,663.6093430000001
2026-05-01T22:20:53.142640,100143.7,173302.37,649.12626
2026-05-01T22:25:53.590065,100148.7,173307.37,654.132344
2026-05-01T22:30:54.045804,100150.85,173309.52,656.280817
2026-05-01T22:35:54.514338,100147.01,173305.68,652.442453
2026-05-01T22:40:55.105035,100152.38,173311.05,657.80964
2026-05-01T22:45:55.550596,100151.8,173310.47,657.225781
2026-05-01T22:50:56.028279,100133.36,173292.03,638.788462
2026-05-01T22:55:56.469846,100154.71,173313.38,660.138459
2026-05-01T23:00:57.065635,100153.07,173311.74,658.498878
2026-05-01T23:05:57.499743,100152.67,173311.34,658.101465
2026-05-01T23:10:58.134008,100150.89,173309.56,656.3203
2026-05-01T23:15:58.860189,100148.86,173307.53,654.28692
2026-05-01T23:20:59.376447,100135.98,173294.65,641.409069
2026-05-01T23:25:59.856101,100140.79,173299.46,646.2199270000001
2026-05-01T23:31:00.298828,100140.53,173299.2,645.963313
2026-05-01T23:36:00.723526,100150.94,173309.61,656.367885
2026-05-01T23:41:01.237571,100143.75,173302.42,649.182896
2026-05-01T23:46:01.678919,100141.94,173300.61,647.368827
2026-05-01T23:51:02.137797,100140.61,173299.28,646.038513
2026-05-01T23:56:02.610057,100138.31,173296.98,643.744929
2026-05-02T00:01:03.352007,100144.06,173302.73,649.493921
2026-05-02T00:06:03.829840,100144.06,173302.73,649.493921
2026-05-02T00:11:04.295978,100144.06,173302.73,649.493921
2026-05-02T00:16:04.785876,100144.06,173302.73,649.493921
2026-05-02T00:21:05.200366,100144.06,173302.73,649.493921
2026-05-02T00:26:05.835185,100144.06,173302.73,649.493921
2026-05-02T00:31:06.335665,100144.06,173302.73,649.493921
2026-05-02T00:36:06.815403,100144.06,173302.73,649.493921
2026-05-02T00:41:07.292946,100144.06,173302.73,649.493921
2026-05-02T00:46:07.797163,100144.06,173302.73,649.493921
2026-05-02T00:51:08.679554,100144.06,173302.73,649.493921
2026-05-02T00:56:09.169455,100144.06,173302.73,649.493921
2026-05-02T01:01:09.592484,100144.06,173302.73,649.493921
2026-05-02T01:06:09.983826,100144.06,173302.73,649.493921
2026-05-02T01:11:10.407433,100144.06,173302.73,649.493921
2026-05-02T01:16:10.879477,100144.06,173302.73,649.493921
2026-05-02T01:21:11.282537,100144.06,173302.73,649.493921
2026-05-02T01:26:11.715805,100144.06,173302.73,649.493921
2026-05-02T01:31:12.144388,100144.06,173302.73,649.493921
2026-05-02T01:36:12.575276,100144.06,173302.73,649.493921
2026-05-02T01:41:13.023809,100144.06,173302.73,649.493921
2026-05-02T01:46:13.527436,100144.06,173302.73,649.493921
2026-05-02T01:51:14.141974,100144.06,173302.73,649.493921
2026-05-02T01:56:14.559629,100144.06,173302.73,649.493921
2026-05-02T02:01:15.053848,100151.44,173310.11,656.8692900000001
2026-05-02T02:06:15.699661,100151.44,173310.11,656.8692900000001
2026-05-02T02:11:16.186928,100151.44,173310.11,656.8692900000001
2026-05-02T02:16:16.634105,100151.44,173310.11,656.8692900000001
2026-05-02T02:21:17.076341,100151.44,173310.11,656.8692900000001
2026-05-02T02:26:17.522265,100151.44,173310.11,656.8692900000001
2026-05-02T02:31:17.985621,100151.44,173310.11,656.8692900000001
2026-05-02T02:36:18.693449,100151.44,173310.11,656.8692900000001
2026-05-02T02:41:19.173499,100151.44,173310.11,656.8692900000001
2026-05-02T02:46:19.684019,100151.44,173310.11,656.8692900000001
2026-05-02T02:51:20.262020,100151.44,173310.11,656.8692900000001
2026-05-02T02:56:20.919316,100151.44,173310.11,656.8692900000001
2026-05-02T03:01:21.348718,100151.44,173310.11,656.8692900000001
2026-05-02T03:06:21.820453,100151.44,173310.11,656.8692900000001
2026-05-02T03:11:22.333373,100151.44,173310.11,656.8692900000001
2026-05-02T03:16:22.862590,100151.44,173310.11,656.8692900000001
2026-05-02T03:21:23.374919,100151.44,173310.11,656.8692900000001
2026-05-02T03:26:24.015885,100151.44,173310.11,656.8692900000001
2026-05-02T03:31:24.456178,100151.44,173310.11,656.8692900000001
2026-05-02T03:36:24.900935,100151.44,173310.11,656.8692900000001
2026-05-02T03:41:25.325425,100151.44,173310.11,656.8692900000001
2026-05-02T03:46:26.512067,100151.44,173310.11,656.8692900000001
2026-05-02T03:51:27.208929,100151.44,173310.11,656.8692900000001
2026-05-02T03:56:27.735782,100151.44,173310.11,656.8692900000001
2026-05-02T04:01:28.187966,100151.44,173310.11,656.8692900000001
2026-05-02T04:06:28.656518,100151.44,173310.11,656.8692900000001
2026-05-02T04:11:29.138857,100151.44,173310.11,656.8692900000001
2026-05-02T04:16:29.682870,100151.44,173310.11,656.8692900000001
2026-05-02T04:21:30.198508,100151.44,173310.11,656.8692900000001
2026-05-02T04:26:30.724417,100151.44,173310.11,656.8692900000001
2026-05-02T04:31:31.176718,100151.44,173310.11,656.8692900000001
2026-05-02T04:36:31.611902,100151.44,173310.11,656.8692900000001
2026-05-02T04:41:32.059551,100151.44,173310.11,656.8692900000001
2026-05-02T04:46:32.522216,100151.44,173310.11,656.8692900000001
2026-05-02T04:51:32.986718,100151.44,173310.11,656.8692900000001
2026-05-02T04:56:33.450211,100151.44,173310.11,656.8692900000001
2026-05-02T05:01:34.042972,100151.44,173310.11,656.8692900000001
2026-05-02T05:06:34.536824,100151.44,173310.11,656.8692900000001
2026-05-02T05:11:35.206817,100151.44,173310.11,656.8692900000001
2026-05-02T05:16:35.699406,100151.44,173310.11,656.8692900000001
2026-05-02T05:21:36.123882,100151.44,173310.11,656.8692900000001
2026-05-02T05:26:36.600198,100151.44,173310.11,656.8692900000001
2026-05-02T05:31:37.045384,100151.44,173310.11,656.8692900000001
2026-05-02T05:36:37.464828,100151.44,173310.11,656.8692900000001
2026-05-02T05:41:37.972286,100151.44,173310.11,656.8692900000001
2026-05-02T05:46:38.496579,100151.44,173310.11,656.8692900000001
2026-05-02T05:51:39.020981,100151.44,173310.11,656.8692900000001
2026-05-02T05:56:39.517889,100151.44,173310.11,656.8692900000001
2026-05-02T06:01:40.084312,100151.44,173310.11,656.8692900000001
2026-05-02T06:06:40.588412,100151.44,173310.11,656.8692900000001
2026-05-02T06:11:41.230563,100151.44,173310.11,656.8692900000001
2026-05-02T06:16:41.772005,100151.44,173310.11,656.8692900000001
2026-05-02T06:21:42.327537,100151.44,173310.11,656.8692900000001
2026-05-02T06:26:42.744065,100151.44,173310.11,656.8692900000001
2026-05-02T06:31:43.260260,100151.44,173310.11,656.8692900000001
2026-05-02T06:36:43.730934,100151.44,173310.11,656.8692900000001
2026-05-02T06:41:44.240314,100151.44,173310.11,656.8692900000001
2026-05-02T06:46:44.679468,100151.44,173310.11,656.8692900000001
2026-05-02T06:51:45.162617,100151.44,173310.11,656.8692900000001
2026-05-02T06:56:45.664286,100151.44,173310.11,656.8692900000001
2026-05-02T07:01:46.091536,100151.44,173310.11,656.8692900000001
2026-05-02T07:06:46.486555,100151.44,173310.11,656.8692900000001
2026-05-02T07:11:46.910511,100151.44,173310.11,656.8692900000001
2026-05-02T07:16:47.573356,100151.44,173310.11,656.8692900000001
2026-05-02T07:21:48.013408,100151.44,173310.11,656.8692900000001
2026-05-02T07:26:48.483566,100151.44,173310.11,656.8692900000001
2026-05-02T07:31:48.965724,100151.44,173310.11,656.8692900000001
2026-05-02T07:36:49.448774,100151.44,173310.11,656.8692900000001
